"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	1.0403358	0.8407987	0.0422751	0.6451606	0.0003897	0.8588185	0.3436453	0.0186858	0.0264416	0.0046494	0.6492790	0.4473632	0.9406461	0.2285660	0.0458753	0.6255490	0.5543135	0.0000000	0.7718451	0.7742587	0.0112189	0.0000000	0.1505137	0.0756503	0.9476207	1.0236043	0.1154132	0.7082304	0.0312892	0.4041189	1.0365012	1.0534866	1.0234960	0.0923048	0.9419296	1.1129358	0.9733434	1.1245428	0.2494145	0.5446063	0.9983143	0.9890380	0.1037595	1.0745737	0.9526502	1.0650727	0.3401016	0.8638316	0.9691110	0.8907361
2	1.0200903	0.9256581	0.0471002	0.6382020	0.0289075	0.8259452	0.3783460	0.0572957	0.0269231	0.0476048	0.7233981	0.4805499	0.9579749	0.1820804	0.0769109	0.6769133	0.5460656	0.0611845	0.7044873	0.9125016	0.0079139	0.0735536	0.1833591	0.0664832	0.9676180	1.0477833	0.0450726	0.8126851	0.0000000	0.3828616	1.0481168	0.9942625	0.9616153	0.0950686	1.0444118	0.9802251	0.9418800	0.8952583	0.3286447	0.6642792	0.9539483	1.0874685	0.0891580	0.9742493	0.8737097	0.9786798	0.2734128	0.9061028	0.9622221	0.9544484
4	1.0123666	0.8690905	0.0444098	0.6068464	0.0000000	0.8526588	0.3998157	0.1109745	0.0101068	0.0395135	0.7707196	0.4351532	0.9418354	0.1619757	0.0385882	0.6452541	0.5448933	0.0103468	0.7193672	0.9208938	0.0151192	0.0660031	0.1710107	0.0413677	0.9349342	1.0785546	0.0856671	0.8268926	0.0000000	0.3619559	1.0429350	1.0684329	0.9157357	0.1134590	1.0191379	1.1053561	1.0084011	0.8309203	0.2878317	0.6120221	1.0094158	1.0803239	0.0900506	0.9980858	0.8437351	1.0029835	0.2963909	0.9703382	0.9317313	0.9533267
6	0.9547254	0.9604871	0.0527753	0.6775331	0.0000000	0.8088058	0.3647507	0.0684713	0.0032428	0.0418700	0.7100164	0.4882686	0.9379285	0.2055167	0.0188243	0.6845363	0.5994216	0.0252368	0.6764913	0.9514566	0.0397616	0.0316833	0.1336418	0.0264858	0.8008017	1.0689347	0.1555872	0.8481308	0.0000000	0.3319176	1.0272468	1.1126342	0.8775993	0.1323910	1.0696079	1.0793841	1.0343369	0.7589542	0.2957003	0.6533952	1.0042449	1.0707677	0.1823198	0.9826646	0.9347482	0.9608270	0.2589505	0.9644928	0.9162811	0.8955876
8	1.0207160	0.9391333	0.0276548	0.6441702	0.0160571	0.7627248	0.3858235	0.0991451	0.0003227	0.0393828	0.7412857	0.5017119	0.9190190	0.1747565	0.0482115	0.6369211	0.5187702	0.0212204	0.6683518	0.8764619	0.0000000	0.0269474	0.1552731	0.0583717	0.8315818	1.0545343	0.1464965	0.8369580	0.0035918	0.3835922	1.0494307	1.0582332	0.8905384	0.0631142	1.0392068	1.0021512	1.0357031	0.8692351	0.2917752	0.6449943	0.9430222	1.1007085	0.1870422	1.0199444	0.8620004	0.9591677	0.3308287	0.9704989	0.9566674	0.9774476
10	1.0935189	0.9166929	0.0000000	0.7047836	0.0393770	0.7990519	0.3873022	0.0819014	0.0152556	0.0327011	0.7048460	0.5355229	0.9200205	0.2081345	0.0699005	0.6301149	0.5754195	0.0237310	0.6890916	0.8958972	0.0312196	0.0721714	0.1692793	0.0629247	0.7875478	1.0327141	0.1436493	0.7624086	0.0051650	0.4011957	1.0644663	1.1220548	0.8848793	0.1302604	1.1340925	0.9676961	0.9706967	0.8885688	0.3223457	0.6320334	1.0125659	1.0729687	0.1315362	1.0389980	0.9371694	1.0178640	0.3154174	0.9707538	0.9230355	0.9552194

0	0.9901966	0.8235699	0.0820437	0.6938410	0.0134339	0.8410597	0.3445906	0.0474029	0.0000000	0.0600101	0.6127228	0.4347806	1.0202442	0.1940842	0.0444680	0.6666494	0.5798368	0.0331033	0.7677715	0.7871648	0.0129032	0.0291109	0.1802324	0.0747595	0.9230171	1.0186370	0.0695763	0.7193424	0.0345561	0.4105320	1.0279430	1.0754216	1.0401409	0.1338813	0.9183299	1.0749121	0.9387587	1.0642209	0.2249039	0.5168350	1.0340535	1.0225117	0.1078683	1.0264784	0.8928681	1.0273657	0.3219062	0.9448721	0.9737789	0.8931058
2	0.9566206	0.7622879	0.0624652	0.5525098	0.0369425	0.8397061	0.3436340	0.0406584	0.0614896	0.0205981	0.5810729	0.4479280	0.9133552	0.1839276	0.0653596	0.5808669	0.5391608	0.0450428	0.6551750	0.9360699	0.0042204	0.0000000	0.1638166	0.0264556	0.9499019	0.9406901	0.0498491	0.8458868	0.0531843	0.3097425	0.9091666	1.0149080	0.9884752	0.0964795	0.9763988	1.0033380	0.9900076	1.0813450	0.2931023	0.6102436	1.0425587	0.9385237	0.0465267	1.0780151	0.7884017	0.9634715	0.2925144	0.9143661	0.9144012	0.9686778
4	0.9532509	0.7726155	0.0641012	0.5479853	0.0155711	0.8176742	0.3734204	0.0437201	0.0385316	0.0459862	0.6394186	0.4371832	0.8931103	0.1980733	0.0551257	0.5708448	0.6006657	0.0463156	0.6800930	0.8938184	0.0000000	0.0389432	0.1334304	0.0412884	0.9373251	0.9538528	0.0532422	0.8000314	0.0359359	0.2896896	0.9793422	1.0374483	0.9250577	0.1063105	0.9609523	0.9609116	0.9830613	1.0060482	0.2869089	0.6440878	1.0385847	0.9762694	0.0954659	1.0405731	0.7750526	0.9888633	0.3001387	0.8818584	0.9058164	0.8734859
6	0.9968507	0.7263453	0.0454152	0.5761628	0.0638561	0.8136791	0.4007971	0.0333283	0.0767111	0.0676209	0.6186030	0.5016372	0.8775541	0.1850043	0.0513605	0.5420577	0.5537815	0.0103237	0.7457591	0.9010602	0.0360993	0.0000000	0.1812331	0.0887296	0.9310410	0.9337781	0.0883789	0.7745692	0.0113588	0.2925933	1.0614623	1.0003474	0.9508834	0.1493025	0.9727449	0.9493271	1.0350510	0.9628392	0.2997580	0.6430163	0.9630618	1.0043423	0.1497900	1.0216668	0.7809903	1.0037888	0.2985436	0.8538550	0.9719431	0.9154524
8	0.9752178	0.7567499	0.0450958	0.5356652	0.0353359	0.8896423	0.3546226	0.0000000	0.0389179	0.0443084	0.5987550	0.4568022	0.8740090	0.2161676	0.0724093	0.5977474	0.5228708	0.0350950	0.7423369	0.9826452	0.0000000	0.0000000	0.1122816	0.0255313	0.8937370	1.0106868	0.0122823	0.8167162	0.0000000	0.2992469	0.9921385	0.9706965	0.8915705	0.1173736	0.9665690	0.9373084	0.9878513	1.0380522	0.3362293	0.6273292	1.0112362	1.0598385	0.1054868	1.0228013	0.7889814	0.9451073	0.3161385	0.9210559	0.9030259	0.9098598
10	0.9618026	0.8259953	0.0202969	0.5802389	0.1017271	0.8456187	0.3873759	0.0355505	0.0645262	0.0519818	0.6652268	0.4834085	0.9211345	0.2145044	0.0712086	0.5820353	0.5480656	0.0332040	0.6755340	0.9322026	0.0040020	0.0119716	0.1537107	0.0629927	0.9580557	1.0425495	0.0701412	0.7805868	0.0325654	0.3409565	0.9497657	1.0305198	0.8884125	0.1010705	0.9492706	0.9053725	0.9877921	0.9500314	0.2927922	0.6599588	0.9467107	0.9887316	0.1314591	1.0329132	0.8230662	0.9672669	0.3239676	0.9270114	0.9506634	0.9484773

0	1.0164587	0.8424910	0.0440159	0.6432001	0.0652732	0.8624552	0.3954014	0.0738975	0.0104765	0.0616571	0.6776758	0.4331834	0.9180668	0.2234968	0.0306481	0.6337041	0.5595038	0.0000000	0.7384392	0.7604463	0.0000000	0.0233728	0.1617392	0.0806577	0.9684716	1.0427565	0.0477634	0.7182609	0.0513365	0.3816781	1.0164938	1.0046404	1.0234193	0.1470510	0.9853658	1.1305698	0.9921892	1.1363337	0.2448642	0.5214277	1.0209103	0.9719998	0.1188641	1.0130589	0.9288894	1.0763686	0.3110105	0.8946027	0.9944255	0.9057043
2	0.9484108	0.8280084	0.0595201	0.5944566	0.0162619	0.8430679	0.4252162	0.0542891	0.0014150	0.0913630	0.7088547	0.3617791	1.0517126	0.5138492	0.0604464	0.7214250	0.5536580	0.0410865	0.6853054	0.8092673	0.0000000	0.0085327	0.1376962	0.0274577	0.9071350	0.9581453	0.0432546	0.8158308	0.0414126	0.4163236	1.0168435	1.0244091	1.0005358	0.0949312	0.9346114	1.0025616	1.0429647	1.0135993	0.1789415	0.3998783	1.0664440	0.9392505	0.1214178	1.0282170	0.9476199	0.9919280	0.3375381	0.6827176	1.0192486	0.9028124
4	0.9302398	0.8248460	0.0236628	0.6257998	0.0041348	0.8828626	0.3349477	0.0586004	0.0500923	0.0473552	0.6639969	0.3605270	0.9601676	0.5301375	0.1064865	0.7528426	0.6162069	0.0056261	0.6500822	0.8479649	0.0517673	0.0510589	0.0775066	0.0597567	0.9125989	0.9310073	0.1436700	0.8594648	0.0350371	0.4127273	0.9970465	1.0592750	1.0194923	0.0627794	0.9057147	1.0513038	1.1052113	0.9657391	0.2508307	0.3656935	1.0502871	0.9118711	0.0886071	1.0141941	0.9677228	0.9700952	0.3309309	0.6763658	1.0277129	0.9062814
6	0.9910565	0.8497712	0.0182488	0.6608243	0.0000000	0.8738764	0.3956883	0.0005834	0.0498517	0.0529604	0.6598327	0.3196332	0.9844985	0.4876243	0.0719250	0.6856769	0.5781817	0.0608760	0.6400428	0.8308752	0.0286403	0.0000000	0.1350904	0.0000000	0.9524958	0.9722761	0.1059294	0.8590303	0.0379742	0.4023932	1.0045292	1.0271856	0.9817120	0.1264352	0.9063322	1.0353118	1.0713630	1.0317631	0.2483775	0.3272210	1.0573717	0.8271086	0.1086243	1.0114465	0.9520168	0.9434899	0.2806290	0.6572991	1.0591385	0.9258683
8	0.9185771	0.8346843	0.0248111	0.6238712	0.0178059	0.8733712	0.3807869	0.0176228	0.0312786	0.0559799	0.6680115	0.3228186	1.0164715	0.4863882	0.1253085	0.6902832	0.5912664	0.0679162	0.6402601	0.8394658	0.0471423	0.0048006	0.1252657	0.0440446	0.9240095	0.9647081	0.1455889	0.8569522	0.0000000	0.4090999	0.9887431	0.9770959	0.9770554	0.0404952	0.9761138	1.0142231	1.0161634	1.0180940	0.1677528	0.3597900	1.0156710	0.8150403	0.0822443	0.9987075	0.9766952	0.9492463	0.2918960	0.6601372	1.0288556	0.8713597
10	0.9489280	0.7616337	0.0121286	0.6337900	0.0195390	0.8676179	0.3558186	0.0515619	0.0184536	0.0546606	0.6802381	0.3907664	1.0351566	0.5260365	0.0843506	0.7526373	0.5921009	0.0358331	0.5839793	0.8929478	0.0000000	0.0373816	0.1684276	0.0269448	0.9093799	0.9675620	0.1113832	0.8391487	0.0311671	0.3991109	1.0333099	0.9610693	0.9994702	0.0909500	0.9386345	0.9531805	1.0106371	1.0008230	0.2404006	0.4132577	1.0405315	0.8703143	0.1285444	1.0309815	0.9840529	0.9411591	0.2674329	0.6841367	1.0148062	0.8690872

0	1.0177291	0.8539964	0.0586167	0.6132615	0.0803223	0.8460118	0.3876666	0.0358333	0.0284903	0.0574576	0.6193785	0.4253218	0.9119852	0.2302729	0.0788918	0.6119102	0.5664101	0.0000000	0.7349936	0.7697301	0.0178603	0.0112357	0.2210231	0.0095162	0.9517023	1.0077975	0.0329696	0.6861827	0.0000000	0.3960808	0.9943540	1.0823767	1.0253158	0.1223154	0.8950515	1.0755975	0.9970048	1.1031587	0.2345461	0.4971156	1.0586303	0.9947337	0.1141256	1.0286638	0.8958655	1.0223379	0.3075925	0.8875100	0.9251076	0.9364474
2	1.0338517	0.7450027	0.0180096	0.6318492	0.0353705	0.7619186	0.4165437	0.0875701	0.0436674	0.0288480	0.7077042	0.4197125	1.0717188	0.0850086	0.0489883	0.5554525	0.5944343	0.0564216	0.8356223	0.9258889	0.0417220	0.0104824	0.1542521	0.0901569	0.9784621	0.9266449	0.1212751	0.7837697	0.0000000	0.3703707	0.9933674	0.9364751	0.9289933	0.1584730	1.0105099	1.0402925	1.0314348	0.9703121	0.3170330	0.5327104	1.0679566	1.0905886	0.1220391	1.0028756	0.8993075	0.9599523	0.2508351	0.9596039	1.0104053	1.0529844
4	1.0509614	0.8209348	0.1035246	0.6408900	0.0275383	0.7827825	0.3731475	0.0594504	0.0084883	0.0305831	0.7121864	0.3841013	1.0338717	0.1318671	0.0628271	0.5786594	0.6253165	0.0225490	0.8165647	0.8601413	0.0288740	0.0290992	0.1431269	0.0771026	0.9159152	0.9354881	0.0865137	0.8319259	0.0279862	0.3840513	1.0149890	0.9087085	0.9664893	0.1583238	1.0259208	1.0353624	0.9976680	0.9556440	0.3121378	0.5734087	1.0673989	1.0332274	0.1389274	0.9784715	0.8193940	0.9485320	0.2339779	0.9021641	1.0658576	1.0325585
6	0.9556696	0.8515932	0.0310245	0.6216680	0.0802694	0.7973890	0.3778132	0.1187887	0.0295503	0.0448438	0.6281313	0.4175509	1.0598250	0.1241359	0.0659283	0.6028884	0.6264519	0.0165738	0.9056638	0.7928702	0.0000000	0.0187365	0.1347204	0.0449447	0.8930727	0.9290022	0.0996882	0.8163768	0.0351760	0.4094635	1.0476552	0.9557455	0.9680543	0.1936518	0.9618245	1.0265844	0.9690830	0.9814186	0.2857510	0.5514658	1.0760861	0.9434028	0.1020838	0.9767151	0.8239773	0.9333720	0.2342094	0.9723344	1.0273234	1.0757025
8	0.9775846	0.8160459	0.0509668	0.6601401	0.0412019	0.8148687	0.3793451	0.0662736	0.0194482	0.0521353	0.6894643	0.4196613	1.1000160	0.1108090	0.0344441	0.6020275	0.6389156	0.0459988	0.8664945	0.8014781	0.0350787	0.0577329	0.1722889	0.0853621	0.8613585	0.9706572	0.0648817	0.8294918	0.0129774	0.4179423	0.9718299	0.9878594	0.9866776	0.1517534	0.9442893	1.0403703	0.9852253	1.0230903	0.2957449	0.5496438	1.0413726	0.9901725	0.0685845	0.9413607	0.8576983	0.9592053	0.3500760	0.9474439	1.0116199	1.0544235
10	0.9930438	0.8329477	0.0338768	0.6730176	0.0533650	0.8054551	0.3665027	0.0913153	0.0437329	0.0333554	0.7522172	0.3743198	1.0404925	0.0966768	0.0602405	0.5980759	0.5781186	0.0596089	0.8645798	0.7884384	0.0000000	0.0071310	0.1591021	0.0565084	0.8137754	0.9806241	0.0926929	0.7750051	0.0000000	0.4229091	0.9668976	0.9429153	1.0197379	0.1421475	0.9665190	1.0414877	0.9935268	1.0066921	0.2532088	0.5673910	1.0610938	0.9450626	0.1160344	0.9565569	0.8948447	0.9077187	0.2563369	0.9748026	1.0102318	1.0387692

0	1.0008005	0.8511932	0.0264600	0.6641117	0.0046269	0.8570311	0.3624531	0.0088678	0.0263750	0.0399060	0.6193309	0.4610349	0.9992696	0.2258896	0.0559888	0.6165497	0.5654602	0.0085625	0.7507388	0.7406308	0.0000000	0.0000000	0.1640626	0.0646983	0.9762865	1.0152851	0.0807922	0.6859948	0.0053090	0.3608365	0.9741718	1.0435453	1.0250767	0.1183777	0.9290960	1.0459068	0.9498345	1.0848555	0.2436250	0.4863845	1.0071099	1.0030376	0.1527132	1.0298790	0.8926601	1.0285240	0.3079250	0.8638361	1.0355187	0.9326282
2	1.0218533	0.9085741	0.0902382	0.5730300	0.0491249	0.7752700	0.4525807	0.0364643	0.0319318	0.0392330	0.5815747	0.3887426	1.0302258	0.4583905	0.0572592	0.6246875	0.5545542	0.0697271	0.7844090	0.7891669	0.0494672	0.0018281	0.1233983	0.0201707	1.0211407	0.9128480	0.0491597	0.6728937	0.0317673	0.3171520	1.0533967	1.0453586	0.9593911	0.1370764	0.8961593	1.0800798	1.0792040	1.0063629	0.2399980	0.6208522	0.9603810	0.9331234	0.1363695	1.1388379	0.9497708	1.0238538	0.2834092	0.8752245	1.0650546	0.9283636
4	1.0042006	0.8720106	0.0452191	0.5932934	0.0697648	0.7645662	0.4708305	0.0051183	0.0293637	0.0876519	0.6402747	0.3876199	0.9869375	0.4803410	0.0743316	0.6208461	0.5402038	0.1069187	0.7648708	0.8205053	0.0000000	0.0000000	0.0801164	0.0000000	1.0399594	0.9824935	0.0517438	0.7340209	0.0000000	0.3303666	1.0383801	1.0418317	0.9612537	0.1233385	0.8946652	1.1209494	1.0107703	1.0116606	0.2086598	0.5757357	0.8986292	0.8890578	0.1199029	1.0910646	0.9306909	1.0032502	0.3062473	0.8282777	1.1109036	0.9889731
6	0.9917995	0.8742037	0.0402442	0.5826232	0.0656839	0.7330001	0.4583829	0.0693973	0.0435545	0.0879886	0.6313102	0.3983375	0.9514499	0.4622645	0.0637750	0.6404414	0.4962702	0.1020131	0.7440617	0.8141837	0.0000000	0.0000000	0.1566025	0.0294027	1.0396328	0.9257385	0.1494546	0.6842094	0.0000000	0.3497453	1.0320585	1.0661099	0.9483242	0.1624419	0.8642713	1.1140324	0.9825842	0.9721910	0.2500663	0.5373870	0.9384623	0.8837840	0.1148981	1.0806606	0.9411068	1.0236489	0.2819692	0.7910663	1.0573122	0.9103421
