"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	1.0398887	0.9546019	0.9835584	1.0795169	1.0045912	0.9452796	0.8736194	0.9566874	1.0491926	0.8860066	0.9755638	0.1222359	0.1605446	0.9875127	0.8429216	0.0013814	1.1238754	1.0842657	0.9795627	0.0000000	0.9177624	0.0710166	0.9676065	1.0778362	0.1055072	0.0714610	0.8632815	1.0061973	0.8471605	0.9862097	0.9611944	0.8117369	0.9170253	0.1978666	0.1673718	0.0511579	0.5809048	0.2848272	0.4259142	0.4723810	0.4789649	0.5621960	0.5349440	0.9695089	0.9828851	0.0398673	0.9945398	1.0205949	0.8450169	1.0329305
2	1.0525761	0.9355026	0.9691867	1.0353154	0.9736807	0.8738027	0.8286955	1.0354591	1.0340696	0.9023663	1.0110876	0.1391153	0.1392890	0.9850019	0.8695844	0.0000000	1.0078612	1.0062319	0.9656800	0.0179690	1.0218006	0.1004271	0.9407567	0.9634687	0.1607292	0.0194011	0.9124417	0.9903497	0.8686538	1.0442578	0.9798295	0.8752664	0.8902427	0.2832707	0.2024299	0.0209420	0.5027162	0.2698059	0.4036583	0.4931969	0.4776958	0.5543956	0.5396081	0.9926273	0.9132142	0.0425629	0.9471334	1.0371727	0.9203700	0.9807681
4	0.9961611	1.0045692	0.9680472	1.1222965	0.9991635	0.8922006	0.7760806	1.0350620	1.0462606	0.8695196	1.0105340	0.1128996	0.1453602	0.9523634	0.8686860	0.0079220	0.9817239	1.0128565	0.9791121	0.0000000	1.0120043	0.0367483	0.9082267	0.9094059	0.1311862	0.0924681	0.8952128	0.9957728	0.8047323	0.9851017	0.8791761	0.8744859	0.9332536	0.2847877	0.2257023	0.0490504	0.4880128	0.2686919	0.3988510	0.4767606	0.4067822	0.5747615	0.5352495	0.9828518	0.8988323	0.0194984	0.9750838	1.0370646	0.9473562	1.0121957
6	1.0089864	0.9095364	1.0038879	1.0994841	1.0284249	0.8555205	0.7943289	1.1235846	1.0421973	0.9004385	1.0181697	0.1150443	0.1726632	1.0182668	0.8889578	0.0000000	0.9790875	1.0394113	0.9310655	0.0000000	1.0756761	0.0601050	0.8587860	0.9673015	0.1689746	0.0723131	0.9235858	0.9808676	0.8182737	1.0314378	0.9222442	0.8675215	0.8667102	0.2409010	0.1730626	0.1067202	0.5160842	0.2479075	0.4221312	0.5214747	0.3994474	0.6106255	0.5668278	1.0370881	0.8831582	0.0121821	0.8895044	1.0087673	0.9482877	1.0101698
8	1.0257506	0.9686332	0.9578356	1.0919887	1.0267362	0.8519344	0.7639398	1.0488868	1.0269817	0.8224960	1.0090834	0.1053020	0.1300746	0.9416609	0.8410367	0.0162249	0.9360530	0.9690601	0.9100699	0.0000000	1.0646093	0.0736622	0.9163672	0.9230753	0.1319373	0.0490758	0.9650404	0.9720918	0.8388553	1.0683020	0.9098994	0.8635398	0.8785977	0.2718469	0.1898175	0.0246568	0.4921028	0.2732989	0.3785001	0.5155333	0.4106600	0.5757128	0.5308887	1.0083360	0.9776038	0.0544791	0.9148880	1.0145948	0.9433134	1.0346057
10	0.9913070	0.9319654	0.9865941	1.0708313	1.0528853	0.8998283	0.7640960	1.0795030	1.0494642	0.8886095	0.9990538	0.1027207	0.1500286	0.9741079	0.8662948	0.0000000	0.9576055	0.9218940	0.9411841	0.0189901	1.0517220	0.0920772	0.9209304	0.9513171	0.1844544	0.0528794	0.9442457	0.9286294	0.8907920	1.1286789	0.9712962	0.8337083	0.8853270	0.2724458	0.1836287	0.0582689	0.5621794	0.3135281	0.3842366	0.5080585	0.4019019	0.6016153	0.5359957	1.0468084	0.9746292	0.0000000	0.8629282	1.0568319	0.9086170	1.0121005

0	1.0385241	0.9647342	1.0451583	1.0284825	1.0100805	0.9181480	0.8109736	0.9482856	1.0482112	0.9433680	0.9704280	0.1618036	0.1705080	0.9643215	0.8163936	0.0000000	1.0872619	1.0723555	1.0434523	0.0330814	0.9237460	0.0000000	1.0341111	1.1281461	0.1365435	0.0854125	0.9136996	0.9888664	0.9275911	1.0206328	0.9677770	0.8162573	0.8503946	0.2347228	0.1790057	0.0810039	0.6156121	0.2764579	0.4720261	0.4982525	0.5097037	0.5822911	0.5117573	0.9867830	0.9844253	0.0000000	1.0544295	1.0472886	0.9300011	1.0349655
2	0.8791376	0.9908635	0.8681625	0.9689588	0.9557457	0.9315199	0.8627498	0.9926597	1.0180641	0.8397390	0.9388421	0.0983499	0.1695576	0.9074189	0.9000079	0.0003645	1.0593770	1.0519329	0.9761081	0.0000000	1.0564164	0.0665611	0.9617697	0.9831494	0.1393265	0.0230949	0.8882000	0.9473733	0.8465957	0.9582174	0.9751103	0.8392484	0.7754768	0.1615449	0.2058843	0.0000000	0.4831434	0.1940691	0.4531118	0.5190700	0.4852652	0.5718396	0.4859934	1.0810504	1.0442707	0.0095941	0.9879179	1.0039668	0.8432916	1.0456928
4	0.8756731	0.9757326	0.9194859	0.9641491	0.9452172	0.9417991	0.8414473	0.9602231	1.0092286	0.8387931	0.9524438	0.0650135	0.1894104	0.9093416	0.8776958	0.0405738	1.0335075	1.0777770	0.9966855	0.0000000	0.9881826	0.0706180	0.8832727	0.9401000	0.1194233	0.1094405	0.9042462	0.9713178	0.8758905	1.0220855	0.9991719	0.8554426	0.8152272	0.2322132	0.1878832	0.0000000	0.4588138	0.1812708	0.4670687	0.5461308	0.5205883	0.5918239	0.4882801	1.0853909	1.0490097	0.0000000	1.0277246	0.9371682	0.8588569	1.0481554
6	0.8373102	0.9905200	0.9052070	0.9499623	0.9566918	0.9837613	0.8057907	0.9335321	1.0047671	0.8451487	0.9735185	0.1488029	0.1378537	0.9786377	0.8492250	0.0111181	1.0238248	1.0376184	1.0131465	0.0000000	1.0170736	0.0484813	0.8641951	0.8845122	0.1106158	0.0351913	0.8777513	0.9022397	0.8744037	0.9954104	0.9705502	0.8265065	0.7835104	0.1787748	0.2215420	0.0457299	0.5182185	0.1661903	0.3999266	0.4867769	0.5342751	0.6382574	0.5165411	1.0291254	1.0891099	0.0000000	1.0445844	0.8891936	0.8699327	1.0427733
8	0.8387975	0.9585169	0.9089651	0.9691259	0.9075594	0.9740363	0.8271217	0.9774580	0.9939412	0.8141535	0.9311180	0.0482399	0.2069849	0.9022629	0.8985306	0.0061434	1.0200620	1.0904595	1.0003154	0.0000000	1.0089891	0.0343947	0.9072873	0.8590913	0.0427256	0.0146303	0.9127364	0.9013073	0.8891214	1.0268648	1.0273359	0.8066964	0.7745511	0.1769661	0.2031917	0.0317547	0.5257508	0.1817092	0.4727761	0.4467770	0.5015882	0.6710979	0.5117476	1.0391465	1.0403008	0.0187679	0.9842843	0.9393366	0.8468988	1.0560861
10	0.8844898	0.9608761	0.8424203	0.9833883	0.9276829	0.8948810	0.8957561	0.9843578	1.0158846	0.8250670	0.9823259	0.1172341	0.2161999	0.9206468	0.8801106	0.0046932	1.0070033	1.0952493	0.9588798	0.0034012	1.0251250	0.1077759	0.8881295	0.8792273	0.1062610	0.0239218	0.9231956	0.9056388	0.8931078	0.9825884	0.9836767	0.8474179	0.7435277	0.1630852	0.2163747	0.0578298	0.5384326	0.2059327	0.4052627	0.5312140	0.5380550	0.6576536	0.5325264	1.0101388	1.0031960	0.0332079	0.9918004	0.9142888	0.8771251	1.0430137

0	1.0448776	1.0203611	1.0416722	1.0224924	0.9939059	0.9443977	0.8299090	0.9538421	1.0682348	0.8901295	0.9797382	0.1535879	0.1753837	1.0148872	0.7569745	0.0276872	1.0723531	1.0701842	1.0457953	0.0365351	0.9208912	0.0764156	0.9789293	1.1123450	0.1467923	0.0477261	0.9433755	1.0464603	0.8905294	0.9877144	1.0094114	0.7835192	0.8677940	0.2112664	0.1885615	0.0501898	0.5663649	0.2370343	0.4299728	0.4720791	0.4828923	0.4995259	0.5379829	0.9577876	1.0225332	0.0428687	1.0137449	1.0213691	0.8707174	1.0227963
2	0.9710392	1.1012790	1.0612806	0.9661095	1.0776014	0.9334411	0.8007290	0.9241378	1.0577422	0.9093439	0.9882399	0.0664462	0.1944002	0.9940974	0.8316858	0.0036625	0.9341110	0.9173558	1.0507297	0.0000000	1.0336232	0.0716882	1.0550029	0.9868468	0.1702462	0.0846897	1.0156725	0.9172473	0.7543762	0.9958642	1.0669445	0.7861601	0.9079103	0.1625064	0.2089459	0.0559067	0.6020182	0.1591513	0.3888859	0.5539184	0.3725727	0.5438006	0.5136284	0.8983663	0.8759796	0.0000000	1.0027742	0.8939062	0.8934248	1.0849360
4	1.0384791	1.0537770	1.1053897	0.9693500	1.0069758	0.8839867	0.8486604	0.9783220	1.0502374	0.9159744	0.9988779	0.1242652	0.1523666	1.0690570	0.8368529	0.0000000	0.9630302	0.9206462	0.9966273	0.0310351	0.9825973	0.0339434	1.0199744	0.9690311	0.1398812	0.0703872	1.0143540	0.8506855	0.7110771	0.9760210	1.0290142	0.8404276	0.9111662	0.2144607	0.2260775	0.0135124	0.5793381	0.2322823	0.4027051	0.5383074	0.4419008	0.4990733	0.5707928	0.9108005	0.9160640	0.0000000	0.9534964	0.9723291	0.8276659	1.1113580
6	1.0277377	1.0681907	1.0870092	0.9880215	1.0215963	0.9157615	0.8559169	0.9660945	1.0591297	0.9080309	1.0122712	0.0750106	0.1712380	1.0847881	0.8538721	0.0022073	0.9884797	0.8948171	1.0145892	0.0150089	1.0103108	0.0687879	1.0882181	0.9603675	0.1390552	0.0795269	1.0347853	0.8429099	0.7306909	1.0351483	1.0111547	0.8224880	0.9172435	0.1878027	0.3091022	0.0022381	0.5434877	0.2276008	0.4490448	0.5457919	0.4837527	0.4742570	0.4833262	0.9337465	0.9073765	0.0000000	1.0251546	0.9210700	0.8850809	1.0770215
8	1.0277735	1.0388606	1.0585832	0.9974507	0.9904377	0.8937518	0.7973406	0.9594825	1.0904328	0.8411538	0.9985912	0.0928045	0.1978261	1.1147954	0.7913632	0.0024787	0.9949483	0.8661593	1.0368873	0.0000000	0.9908582	0.1188854	1.0452256	0.9740677	0.1444881	0.0335561	1.0163000	0.8528181	0.7364176	1.0258012	0.9877717	0.7931034	0.8524221	0.2094121	0.2389318	0.0400808	0.5265386	0.2245343	0.5043637	0.5413508	0.4805121	0.5149016	0.5326642	0.9029531	0.8950089	0.0097333	0.9462617	0.9610510	0.8232000	1.0665956
10	1.0679741	1.0122107	0.9923957	0.9709109	1.0069533	0.9472894	0.7562545	0.9493482	1.0714833	0.8393457	0.9893970	0.0751421	0.2119150	1.0887515	0.8468515	0.0005728	0.9793261	0.8976811	1.0647380	0.0000000	1.0094040	0.0889477	1.0430961	0.9580334	0.1229320	0.0647645	0.9933987	0.8905893	0.7737917	1.0024554	0.9721670	0.8610686	0.8750493	0.1855265	0.2719564	0.0215693	0.5245086	0.2488745	0.4851835	0.5238634	0.4798613	0.4945641	0.4933558	0.8558623	0.8943767	0.0173436	0.9041928	0.9991006	0.8834375	1.0413384

