"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	1.0251610	0.9970917	0.0436108	0.0956436	1.0055068	0.6325678	0.1019873	0.6689465	0.3425302	0.8510189	0.0403483	0.5126643	0.5806633	1.0289214	0.5427022	0.0000000	0.9470314	1.0171831	0.9478457	0.1379084	0.0704114	0.0000000	0.9544671	1.0619554	0.9904339	0.3114857	0.8738587	0.9280582	0.0775196	0.9631769	1.0229907	0.9843627	0.2498996	1.0030778	0.4930572	0.0181570	0.5713769	0.9020607	0.5336659	0.6868956	0.9658207	0.9053336	0.0702128	0.5273160	0.5679994	0.0154648	0.4386882	1.0553851	1.0354789	0.0480918
2	1.0573561	1.0125702	0.0000000	0.0552749	0.8640077	0.5873723	0.0641787	0.7557711	0.3530145	0.8805647	0.0108177	0.6225944	0.5056787	1.0161754	0.5352268	0.0114037	1.0546168	1.0347796	1.0015743	0.1437598	0.1135618	0.0166890	0.8625460	0.9732827	0.9958347	0.3356976	1.0869279	0.9015223	0.0148954	0.9222100	0.9462788	0.9443239	0.1536928	0.9712037	0.5805201	0.0000000	0.5449688	0.9827640	0.3941590	0.8230325	0.9650834	0.8549420	0.0885825	0.5419166	0.4929783	0.0003770	0.4673167	0.9934760	0.9554782	0.0000000
4	1.0719302	0.9561297	0.0116088	0.0985331	0.8189505	0.5519877	0.1246131	0.8023406	0.2919927	0.9341772	0.0000000	0.6007651	0.4728731	0.9490401	0.5661190	0.0553717	1.0197197	0.9087148	1.0180181	0.1988338	0.0948802	0.0282808	0.8508883	0.9387204	0.9808583	0.3462250	1.0420008	0.8671776	0.0270466	0.9165920	0.9113163	0.9860528	0.2089299	0.9371379	0.6241539	0.0000000	0.5924763	0.9642070	0.3742348	0.8341677	0.9130361	0.8404540	0.1016545	0.4603662	0.4550164	0.0379649	0.4808972	1.0219571	0.9565451	0.0000000
6	1.0272763	0.9994570	0.0000000	0.0687869	0.7797386	0.5581889	0.0787941	0.7736256	0.3136599	0.9312234	0.0000000	0.5773704	0.5336342	0.9501999	0.5891569	0.0528722	1.0104179	0.9665815	0.9912132	0.2212657	0.1020163	0.0787083	0.8834216	0.9923352	1.0310689	0.3398242	1.0581619	0.9295128	0.0000000	0.9526373	0.9728860	1.0016655	0.1442859	0.9850136	0.6221034	0.0142495	0.5909771	0.9997746	0.3461124	0.8418564	0.9538399	0.8983927	0.1451353	0.4973368	0.4557270	0.0370573	0.4421190	1.0563947	0.8498172	0.0289456
8	1.0612442	0.9473074	0.0242545	0.0855070	0.7892276	0.5719656	0.0737059	0.7588799	0.3396451	0.9073274	0.0000000	0.6075230	0.5177826	0.9648066	0.6084582	0.0150113	0.9968279	1.0147353	1.0486248	0.2115851	0.0847616	0.0184595	0.8926302	1.0258548	0.9523103	0.3124014	1.0532858	0.8857696	0.0317533	0.8905468	0.9559637	0.9602146	0.2164810	0.9371996	0.5946589	0.0000000	0.5720734	0.9601660	0.4248101	0.7778736	0.9069558	0.8949726	0.1063460	0.4989831	0.4529206	0.0696681	0.4743032	0.9991321	0.9012994	0.0223527
10	1.0336715	0.9441380	0.0216220	0.0975886	0.8561845	0.5942018	0.0908276	0.7194771	0.3118020	0.9281769	0.0126278	0.5734690	0.5362529	0.9949083	0.5816055	0.0511583	1.0400007	0.9986146	1.0614532	0.1946080	0.0947634	0.0172825	0.8870683	0.9723239	1.0150198	0.3233999	1.0263783	0.9006627	0.0430556	0.9152611	0.9690720	0.9678109	0.1998303	0.9823643	0.5754183	0.0240465	0.5896467	0.9580394	0.3888355	0.8197200	0.9053906	0.8472798	0.1238994	0.4695589	0.4921416	0.0182173	0.4773594	1.0248326	0.9565981	0.0236844

0	1.0120937	0.9613372	0.0166216	0.0565666	0.9924347	0.5977325	0.1186469	0.6962458	0.3180903	0.9080636	0.0274329	0.5454286	0.5972767	1.0089442	0.5842267	0.0700755	0.9413314	1.0932673	1.0005882	0.1951824	0.0670580	0.0000000	0.9784913	1.1053757	1.0178297	0.3624090	0.8991729	0.9502925	0.0215335	0.9081454	1.0125197	0.9236037	0.2629664	0.9529121	0.5137093	0.0000000	0.6109695	0.8794108	0.5000551	0.7536086	0.9558388	0.8688043	0.0451152	0.5123268	0.5746890	0.0423485	0.4462651	1.0134325	1.0735550	0.0198880
2	0.9758973	1.0162360	0.0826310	0.0694427	0.9853033	0.5619429	0.0872149	0.6010799	0.3157220	0.8665524	0.0077935	0.4617836	0.5494751	1.0880489	0.5144749	0.1038073	0.8898290	0.9829770	0.9098124	0.1675690	0.0788453	0.0221267	0.8705000	0.9961521	0.8619760	0.2161258	1.0545163	0.8140907	0.0307504	0.9363016	1.0855975	1.0017639	0.1833853	0.9401312	0.6954947	0.0000000	0.5747170	0.8309186	0.4739688	0.7962638	0.8777049	0.9472546	0.1160310	0.5510798	0.5302243	0.0597271	0.4414371	1.0104060	0.9431843	0.0181510
4	0.9324295	1.0101219	0.0000000	0.0822696	0.9756544	0.5624443	0.0579382	0.6346663	0.3589311	0.8243236	0.0000000	0.5116673	0.5422047	1.0856213	0.5554708	0.0526783	0.8975938	0.9340195	0.9718758	0.1543491	0.0779818	0.0410782	0.8716240	1.0103161	0.8221036	0.3002485	1.0576161	0.8765380	0.0000000	0.8803012	1.0801364	1.0430437	0.1926367	0.9751954	0.6497245	0.0130197	0.6251449	0.8502645	0.4836447	0.8403145	0.8545652	0.9536326	0.0619218	0.5349755	0.5237803	0.0516675	0.5080032	1.0125999	0.9589562	0.0177190
6	0.9905944	0.9695632	0.0110675	0.0906674	1.0290244	0.5887199	0.0865190	0.5748420	0.3365823	0.8369688	0.0012915	0.4268868	0.4852201	1.0745138	0.5357970	0.0347225	0.9440409	0.9184918	0.9529026	0.1413867	0.1425929	0.0376999	0.8758020	1.0583584	0.8253687	0.2642978	0.9933366	0.8178880	0.0384400	0.8733102	1.0678340	1.0027560	0.1951061	0.9530436	0.7408730	0.0074994	0.5902475	0.8568223	0.5024037	0.8413184	0.8706913	1.0056367	0.1018594	0.5261926	0.5269354	0.0733153	0.5018900	1.0072012	0.9600930	0.0214605
8	0.9930890	0.9936490	0.0032765	0.0949167	0.9962060	0.5739371	0.0584052	0.6029221	0.3304974	0.8162225	0.0000000	0.4509479	0.4845501	1.0766522	0.5264211	0.0359541	0.8870075	0.9239368	0.9158548	0.1377731	0.1014924	0.0284444	0.8941303	0.9967582	0.8607040	0.2506807	1.0153984	0.9018915	0.0231906	0.8841360	1.0675272	0.9961842	0.2026546	0.8990746	0.6897703	0.0110633	0.5302052	0.8662862	0.5280480	0.8091494	0.8450944	0.9671045	0.0963964	0.5393788	0.5132436	0.0159648	0.4620982	1.0207246	1.0071720	0.0201538
10	0.9937776	0.9849113	0.0140086	0.0816156	0.9813916	0.5859221	0.0866764	0.6072433	0.3628229	0.7696319	0.0000000	0.4235141	0.4711093	1.1276884	0.5494024	0.0566151	0.9214939	0.8942193	0.9280637	0.1231293	0.1535123	0.0236374	0.8817737	1.0305084	0.9030230	0.3386234	1.0539731	0.8548816	0.0282262	0.8827924	1.0108732	0.9699675	0.1981399	0.9712680	0.7079465	0.0000000	0.6131193	0.8733448	0.5165923	0.8062105	0.9039560	1.0139219	0.0926248	0.4907567	0.5524316	0.0790006	0.5565984	0.9943040	1.0256863	0.0208984

0	1.0257900	0.9596861	0.0000000	0.0742448	0.9901465	0.6405701	0.1114211	0.6569299	0.3224672	0.8913296	0.0065730	0.5544336	0.5561012	0.9952071	0.5892933	0.0330665	0.9393768	1.0981304	0.9951573	0.1611742	0.0899298	0.0321202	0.9205123	1.0445377	0.9857455	0.3712533	0.9078558	0.9346355	0.0000000	0.9255334	1.0398543	0.9231911	0.2607898	0.9913298	0.5173266	0.0215735	0.5476957	0.8898963	0.4998453	0.7213377	0.9761759	0.9465280	0.0538927	0.5333442	0.5957833	0.0000000	0.4438608	1.0293806	1.0809005	0.0627766
2	0.9297785	0.9583290	0.0000000	0.0686120	1.0468172	0.6159641	0.0566400	0.9470853	0.2686024	0.7710733	0.0223713	0.3950008	0.4763280	1.0754408	0.5783703	0.0612595	0.9145279	0.9387516	0.9111324	0.1687044	0.0710919	0.0527920	0.9393985	1.0283249	1.0720091	0.3618033	1.0548666	0.8759285	0.0077624	0.9066616	0.9515426	0.9955987	0.2489685	0.9570794	0.4315390	0.0480079	0.5750685	0.7468117	0.4527004	0.8007363	0.9713410	1.1010226	0.0553094	0.4748536	0.4674529	0.0203230	0.4341587	0.8032346	1.0056515	0.0000000
